date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:08	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22632ca496-20cca%22	https://gdscgescoengg.live/assets/webfonts/fa-brands-400.eot	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/webfonts/fa-brands-400.eot	(from https://gdscgescoengg.live/assets/css/all.min.css)
17:45:08	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22632ca496-20cca%22	https://gdscgescoengg.live/assets/webfonts/fa-brands-400d41d.eot?	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/webfonts/fa-brands-400d41dd41d.eot	(from https://gdscgescoengg.live/assets/css/all.min.css)
17:45:08	76764/76764	---M--	200	added ('OK')	font/woff2	etag:%22632ca496-12bdc%22	https://gdscgescoengg.live/assets/webfonts/fa-brands-400.woff2	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/webfonts/fa-brands-400.woff2	(from https://gdscgescoengg.live/assets/css/all.min.css)
17:45:08	90060/90060	---M--	200	added ('OK')	font/woff	etag:%22632ca496-15fcc%22	https://gdscgescoengg.live/assets/webfonts/fa-brands-400.woff	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/webfonts/fa-brands-400.woff	(from https://gdscgescoengg.live/assets/css/all.min.css)
17:45:08	134040/134040	---M-Z	200	added ('OK')	font/ttf	etag:W/%22632ca496-20b98%22	https://gdscgescoengg.live/assets/webfonts/fa-brands-400.ttf	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/webfonts/fa-brands-400.ttf	(from https://gdscgescoengg.live/assets/css/all.min.css)
17:45:09	747545/747545	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22632ca496-b6819%22	https://gdscgescoengg.live/assets/webfonts/fa-brands-400.svg	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/webfonts/fa-brands-400.svg	(from https://gdscgescoengg.live/assets/css/all.min.css)
17:45:09	34034/34034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22632ca496-84f2%22	https://gdscgescoengg.live/assets/webfonts/fa-regular-400.eot	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/webfonts/fa-regular-400.eot	(from https://gdscgescoengg.live/assets/css/all.min.css)
17:45:09	34034/34034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22632ca496-84f2%22	https://gdscgescoengg.live/assets/webfonts/fa-regular-400d41d.eot?	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/webfonts/fa-regular-400d41dd41d.eot	(from https://gdscgescoengg.live/assets/css/all.min.css)
17:45:09	13276/13276	---M--	200	added ('OK')	font/woff2	etag:%22632ca496-33dc%22	https://gdscgescoengg.live/assets/webfonts/fa-regular-400.woff2	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/webfonts/fa-regular-400.woff2	(from https://gdscgescoengg.live/assets/css/all.min.css)
17:45:09	16276/16276	---M--	200	added ('OK')	font/woff	etag:%22632ca496-3f94%22	https://gdscgescoengg.live/assets/webfonts/fa-regular-400.woff	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/webfonts/fa-regular-400.woff	(from https://gdscgescoengg.live/assets/css/all.min.css)
